category_set,design_weighted_position_estimate,external_unsafe,pku_unsafe,rendering,sample_response_positions,site
<empty>,69635.4109999984,false,false,prompt_response,2287,shieldgemma_9b
<empty>,2434.739000000003,true,false,prompt_response,95,shieldgemma_9b
<empty>,10.813,true,true,prompt_response,1,shieldgemma_9b
Animal Abuse,193.319,false,true,prompt_response,24,shieldgemma_9b
Animal Abuse,166.58300000000003,true,true,prompt_response,10,shieldgemma_9b
Animal Abuse | Cybercrime | Drugs,5.941,true,true,prompt_response,1,shieldgemma_9b
Animal Abuse | Cybercrime | Economic Crime | Human Trafficking,5.941,true,true,prompt_response,1,shieldgemma_9b
Animal Abuse | Cybercrime | Human Trafficking,88.65,true,true,prompt_response,2,shieldgemma_9b
Animal Abuse | Cybercrime | Privacy Violation,10.813,true,true,prompt_response,1,shieldgemma_9b
Animal Abuse | Disrupting Public Order | Environmental Damage | Physical Harm | Violence,25.656,true,true,prompt_response,2,shieldgemma_9b
Animal Abuse | Disrupting Public Order | Physical Harm,12.828,false,true,prompt_response,1,shieldgemma_9b
Animal Abuse | Disrupting Public Order | Violence,11.882,false,true,prompt_response,2,shieldgemma_9b
Animal Abuse | Disrupting Public Order | Violence,50.366,true,true,prompt_response,5,shieldgemma_9b
Animal Abuse | Drugs | Physical Harm,10.813,true,true,prompt_response,1,shieldgemma_9b
Animal Abuse | Endangering National Security | Environmental Damage,5.941,true,true,prompt_response,1,shieldgemma_9b
Animal Abuse | Endangering National Security | Privacy Violation,11.882,true,true,prompt_response,2,shieldgemma_9b
Animal Abuse | Environmental Damage,5.941,false,true,prompt_response,1,shieldgemma_9b
Animal Abuse | Environmental Damage,10.813,true,true,prompt_response,1,shieldgemma_9b
Animal Abuse | Environmental Damage | Physical Harm,37.538,true,true,prompt_response,4,shieldgemma_9b
Animal Abuse | Environmental Damage | Physical Harm | Violence,5.941,true,true,prompt_response,1,shieldgemma_9b
Animal Abuse | Environmental Damage | Violence,12.828,true,true,prompt_response,1,shieldgemma_9b
Animal Abuse | Human Trafficking,5.941,true,true,prompt_response,1,shieldgemma_9b
Animal Abuse | Physical Harm,60.233000000000004,false,true,prompt_response,7,shieldgemma_9b
Animal Abuse | Physical Harm,109.30300000000001,true,true,prompt_response,10,shieldgemma_9b
Animal Abuse | Physical Harm | Psychological Harm,12.828,false,true,prompt_response,1,shieldgemma_9b
Animal Abuse | Physical Harm | Psychological Harm,18.769,true,true,prompt_response,2,shieldgemma_9b
Animal Abuse | Physical Harm | Psychological Harm | Violence,12.828,true,true,prompt_response,1,shieldgemma_9b
Animal Abuse | Physical Harm | Violence,24.709999999999997,true,true,prompt_response,3,shieldgemma_9b
Animal Abuse | Privacy Violation,34.454,false,true,prompt_response,3,shieldgemma_9b
Animal Abuse | Psychological Harm,10.813,false,true,prompt_response,1,shieldgemma_9b
Animal Abuse | Psychological Harm | Violence,10.813,false,true,prompt_response,1,shieldgemma_9b
Animal Abuse | Psychological Harm | Violence,23.641,true,true,prompt_response,2,shieldgemma_9b
Animal Abuse | Violence,21.626,false,true,prompt_response,2,shieldgemma_9b
Animal Abuse | Violence,401.9779999999998,true,true,prompt_response,19,shieldgemma_9b
Copyright Issues,1338.5580000000014,false,true,prompt_response,80,shieldgemma_9b
Copyright Issues | Cybercrime,380.3249999999999,false,true,prompt_response,22,shieldgemma_9b
Copyright Issues | Cybercrime | Economic Crime,12.828,false,true,prompt_response,1,shieldgemma_9b
Copyright Issues | Cybercrime | Economic Crime | Privacy Violation,12.828,false,true,prompt_response,1,shieldgemma_9b
Copyright Issues | Cybercrime | Environmental Damage,12.828,true,true,prompt_response,1,shieldgemma_9b
Copyright Issues | Cybercrime | Privacy Violation,50.366,false,true,prompt_response,5,shieldgemma_9b
Copyright Issues | Disrupting Public Order,10.813,false,true,prompt_response,1,shieldgemma_9b
Copyright Issues | Drugs,25.656,false,true,prompt_response,2,shieldgemma_9b
Copyright Issues | Economic Crime,144.93,false,true,prompt_response,13,shieldgemma_9b
Copyright Issues | Economic Crime | Privacy Violation,12.828,false,true,prompt_response,1,shieldgemma_9b
Copyright Issues | Economic Crime | Privacy Violation | White-Collar Crime,25.656,false,true,prompt_response,2,shieldgemma_9b
Copyright Issues | Economic Crime | White-Collar Crime,29.581999999999997,false,true,prompt_response,3,shieldgemma_9b
Copyright Issues | Privacy Violation,64.036,false,true,prompt_response,6,shieldgemma_9b
Cybercrime,1019.4939999999992,false,true,prompt_response,67,shieldgemma_9b
Cybercrime,953.1040000000002,true,true,prompt_response,80,shieldgemma_9b
Cybercrime | Discriminatory Behavior | Disrupting Public Order | Drugs | Human Trafficking | Insulting Behavior | Violence,5.941,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Discriminatory Behavior | Insulting Behavior,5.941,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Disrupting Public Order,5.941,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Disrupting Public Order,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Disrupting Public Order | Economic Crime | Endangering National Security,101.47800000000001,false,true,prompt_response,3,shieldgemma_9b
Cybercrime | Disrupting Public Order | Endangering National Security,295.7319999999999,false,true,prompt_response,15,shieldgemma_9b
Cybercrime | Disrupting Public Order | Endangering National Security,113.43700000000001,true,true,prompt_response,9,shieldgemma_9b
Cybercrime | Disrupting Public Order | Endangering National Security | Endangering Public Health,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Disrupting Public Order | Endangering National Security | Mental Manipulation,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Disrupting Public Order | Endangering National Security | Physical Harm | Violence,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Disrupting Public Order | Endangering National Security | Privacy Violation,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Disrupting Public Order | Endangering National Security | Psychological Harm,25.656,false,true,prompt_response,2,shieldgemma_9b
Cybercrime | Disrupting Public Order | Endangering National Security | Violence,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Disrupting Public Order | Endangering National Security | Violence,25.656,true,true,prompt_response,2,shieldgemma_9b
Cybercrime | Disrupting Public Order | Endangering Public Health,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Disrupting Public Order | Endangering Public Health | Privacy Violation,10.813,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Disrupting Public Order | Environmental Damage,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Disrupting Public Order | Environmental Damage,10.813,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Disrupting Public Order | Environmental Damage | Privacy Violation,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Disrupting Public Order | Human Trafficking | Privacy Violation,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Disrupting Public Order | Insulting Behavior,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Disrupting Public Order | Mental Manipulation,98.71700000000001,false,true,prompt_response,10,shieldgemma_9b
Cybercrime | Disrupting Public Order | Mental Manipulation,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Disrupting Public Order | Physical Harm | Violence,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Disrupting Public Order | Privacy Violation,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Disrupting Public Order | Privacy Violation | Violence,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Disrupting Public Order | Violence,25.656,false,true,prompt_response,2,shieldgemma_9b
Cybercrime | Disrupting Public Order | Violence,36.469,true,true,prompt_response,3,shieldgemma_9b
Cybercrime | Drugs,54.065000000000005,false,true,prompt_response,5,shieldgemma_9b
Cybercrime | Drugs,1785.851,true,true,prompt_response,107,shieldgemma_9b
Cybercrime | Drugs | Economic Crime,94.691,false,true,prompt_response,6,shieldgemma_9b
Cybercrime | Drugs | Economic Crime,492.1009999999996,true,true,prompt_response,30,shieldgemma_9b
Cybercrime | Drugs | Economic Crime | Endangering National Security,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Drugs | Economic Crime | Human Trafficking,12.828,true,true,prompt_response,1,shieldgemma_9b
Cybercrime | Drugs | Economic Crime | Privacy Violation,12.828,false,true,prompt_response,1,shieldgemma_9b
Cybercrime | Drugs | Economic Crime | Privacy Violation,37.538,true,true,prompt_response,4,shieldgemma_9b
