design_weighted_position_estimate,external_unsafe,is_safer_winner,native_stratum,pku_unsafe,rendering,sample_response_positions,site
28855.575000000314,false,false,L1_no_recorded_safety_field_difference,false,prompt_response,651,deepseek_v4_flash_safety_judge
30052.350000000333,false,true,L1_no_recorded_safety_field_difference,false,prompt_response,678,deepseek_v4_flash_safety_judge
1773.0000000000011,true,false,L1_no_recorded_safety_field_difference,false,prompt_response,40,deepseek_v4_flash_safety_judge
576.225,true,true,L1_no_recorded_safety_field_difference,false,prompt_response,13,deepseek_v4_flash_safety_judge
443.24999999999994,false,false,L1_no_recorded_safety_field_difference,true,prompt_response,10,deepseek_v4_flash_safety_judge
842.1750000000003,false,true,L1_no_recorded_safety_field_difference,true,prompt_response,19,deepseek_v4_flash_safety_judge
13253.17500000006,true,false,L1_no_recorded_safety_field_difference,true,prompt_response,299,deepseek_v4_flash_safety_judge
12854.250000000053,true,true,L1_no_recorded_safety_field_difference,true,prompt_response,290,deepseek_v4_flash_safety_judge
256.56,false,false,L2_category_difference_tied_safety_and_severity,true,prompt_response,20,deepseek_v4_flash_safety_judge
667.0559999999992,false,true,L2_category_difference_tied_safety_and_severity,true,prompt_response,52,deepseek_v4_flash_safety_judge
12571.439999999966,true,false,L2_category_difference_tied_safety_and_severity,true,prompt_response,980,deepseek_v4_flash_safety_judge
12160.943999999981,true,true,L2_category_difference_tied_safety_and_severity,true,prompt_response,948,deepseek_v4_flash_safety_judge
154.46600000000004,false,false,L3_severity_difference_same_safety_state,true,prompt_response,26,deepseek_v4_flash_safety_judge
433.6929999999993,false,true,L3_severity_difference_same_safety_state,true,prompt_response,73,deepseek_v4_flash_safety_judge
5786.533999999883,true,false,L3_severity_difference_same_safety_state,true,prompt_response,974,deepseek_v4_flash_safety_judge
5507.3069999998925,true,true,L3_severity_difference_same_safety_state,true,prompt_response,927,deepseek_v4_flash_safety_judge
9277.554000000076,false,true,L4_safety_boundary_difference,false,prompt_response,858,deepseek_v4_flash_safety_judge
1535.446000000004,true,true,L4_safety_boundary_difference,false,prompt_response,142,deepseek_v4_flash_safety_judge
1448.9420000000032,false,false,L4_safety_boundary_difference,true,prompt_response,134,deepseek_v4_flash_safety_judge
9364.058000000077,true,false,L4_safety_boundary_difference,true,prompt_response,866,deepseek_v4_flash_safety_judge
29875.05000000033,false,false,L1_no_recorded_safety_field_difference,false,response_only,674,deepseek_v4_flash_safety_judge
30406.95000000034,false,true,L1_no_recorded_safety_field_difference,false,response_only,686,deepseek_v4_flash_safety_judge
753.5250000000002,true,false,L1_no_recorded_safety_field_difference,false,response_only,17,deepseek_v4_flash_safety_judge
221.625,true,true,L1_no_recorded_safety_field_difference,false,response_only,5,deepseek_v4_flash_safety_judge
3413.024999999996,false,false,L1_no_recorded_safety_field_difference,true,response_only,77,deepseek_v4_flash_safety_judge
4166.549999999993,false,true,L1_no_recorded_safety_field_difference,true,response_only,94,deepseek_v4_flash_safety_judge
10283.40000000001,true,false,L1_no_recorded_safety_field_difference,true,response_only,232,deepseek_v4_flash_safety_judge
9529.874999999998,true,true,L1_no_recorded_safety_field_difference,true,response_only,215,deepseek_v4_flash_safety_judge
1757.4359999999972,false,false,L2_category_difference_tied_safety_and_severity,true,response_only,137,deepseek_v4_flash_safety_judge
2822.1599999999953,false,true,L2_category_difference_tied_safety_and_severity,true,response_only,220,deepseek_v4_flash_safety_judge
11070.564000000022,true,false,L2_category_difference_tied_safety_and_severity,true,response_only,863,deepseek_v4_flash_safety_judge
10005.840000000062,true,true,L2_category_difference_tied_safety_and_severity,true,response_only,780,deepseek_v4_flash_safety_judge
1396.1350000000034,false,false,L3_severity_difference_same_safety_state,true,response_only,235,deepseek_v4_flash_safety_judge
1901.120000000006,false,true,L3_severity_difference_same_safety_state,true,response_only,320,deepseek_v4_flash_safety_judge
4544.864999999924,true,false,L3_severity_difference_same_safety_state,true,response_only,765,deepseek_v4_flash_safety_judge
4039.879999999941,true,true,L3_severity_difference_same_safety_state,true,response_only,680,deepseek_v4_flash_safety_judge
10337.228000000086,false,true,L4_safety_boundary_difference,false,response_only,956,deepseek_v4_flash_safety_judge
475.77199999999965,true,true,L4_safety_boundary_difference,false,response_only,44,deepseek_v4_flash_safety_judge
4022.4360000000274,false,false,L4_safety_boundary_difference,true,response_only,372,deepseek_v4_flash_safety_judge
6790.564000000053,true,false,L4_safety_boundary_difference,true,response_only,628,deepseek_v4_flash_safety_judge
